10/22, 0.1, 64, clear
10/23, 0.1, 64, clear
10/24, 0.1, 64, clear
10/25, 0.1, 64, clear
10/26, 0.1, 64, clear
10/27, 0.1, 64, clear
10/28, 10.2, 64, clear
10/29, 9.2, 64, clear
10/30, 12.8, 64, clear
10/31, 10.2, 64, clear
11/1, 11.2, 64, clear
11/2, 11.3, 64, clear
11/3, 9.5, 64, clear
11/4, 8.9, 64, clear
11/5, 8.7, 64, clear
11/6, 6.5, 64, clear
11/7, 5.3, 64, clear
11/8, 7.2, 64, clear
11/9, 7.3, 64, clear
11/10, 4.8, 64, clear
11/11, 3.4, 64, clear
11/12, 0.9, 64, clear
11/13, 0.0, 64, clear
11/14, 0.1, 64, clear10:45, 2.2, 51, clear sky
10:45, 2.2, 51, clear sky
10:45, 2.2, 51, clear sky
10:45, 2.2, 51, clear sky
10:45, 2.2, 51, clear sky
10:45, 2.2, 51, clear sky
10:46, 2.2, 51, clear sky
10:46, 2.2, 51, clear sky
10:46, 2.2, 51, clear sky
10:49, 2.2, 51, clear sky
10:49, 9.0, 43, few clouds
10:49, 9.0, 43, few clouds
10:49, 9.0, 43, few clouds
10:49, 9.0, 43, few clouds
10:49, 9.0, 43, few clouds
10:50, 2.2, 51, clear sky
10:50, 9.0, 43, few clouds
10:50, 9.0, 43, few clouds
10:50, 9.0, 43, few clouds
10:50, 9.0, 43, few clouds
10:50, 9.0, 43, few clouds
10:50, 9.0, 43, few clouds
10:51, 2.2, 51, clear sky
10:51, 9.0, 43, few clouds
10:51, 9.0, 43, few clouds
10:51, 9.0, 43, few clouds
10:51, 9.0, 43, few clouds
10:51, 9.0, 43, few clouds
10:51, 9.0, 43, few clouds
10:52, 2.2, 51, clear sky
10:52, 9.0, 43, few clouds
10:52, 9.0, 43, few clouds
10:52, 9.0, 43, few clouds
10:52, 9.0, 43, few clouds
10:52, 9.0, 43, few clouds
10:52, 9.0, 43, few clouds
10:53, 2.2, 51, clear sky
10:53, 9.0, 43, few clouds
10:53, 9.0, 43, few clouds
10:53, 9.0, 43, few clouds
10:53, 9.0, 43, few clouds
